,0
1421,mp-866212
1422,mp-867186
1423,mp-867204
1424,mp-867260
1425,mp-867372
1426,mp-867712
1427,mp-867801
1428,mp-867824
1429,mp-867868
1430,mp-867898
1431,mp-8911
1432,mp-8925
1433,mp-9538
1434,mp-961647
1435,mp-9634
1436,mp-9635
1437,mp-971868
1438,mp-971924
1439,mp-971979
1440,mp-972511
1441,mp-972524
1442,mp-972528
1443,mp-973185
1444,mp-973653
1445,mp-974387
1446,mp-974642
1447,mp-975421
1448,mp-975788
1449,mp-976804
1450,mp-9770
1451,mp-977387
1452,mp-977554
1453,mp-9776
1454,mp-9778
1455,mp-978083
1456,mp-978907
1457,mp-979271
1458,mp-980426
1459,mp-983598
1460,mp-983602
1461,mp-983850
1462,mp-984704
1463,mp-984720
1464,mp-984755
1465,mp-985705
1466,mp-985828
1467,mp-9890
1468,mp-9900
1469,mp-996979
1470,mp-996992
1471,mp-997000
1472,mp-997001
1473,mp-997004
1474,mp-997005
1475,mp-997007
1476,mp-997017
1477,mp-997028
1478,mp-997102
1479,mp-997160
1480,mp-997162
1481,mp-998212
1482,mp-998422
1483,mp-998429
1484,mp-998748
1485,mvc-15869
1486,mvc-15935
1487,mvc-3476
1488,mvc-3766
1489,mvc-4692
1490,mvc-5174
1491,mvc-5742
1492,mvc-5984
1493,mvc-6513
1494,mvc-6537
1495,mvc-6617
1496,mvc-6842
1497,mvc-9497
1498,mvc-9752
1499,mvc-9787
1500,mp-1007685
1501,mp-1009048
1502,mp-10101
1503,mp-10102
1504,mp-1025116
1505,mp-1025331
1506,mp-1070869
1507,mp-1072033
1508,mp-1072264
1509,mp-1076000
1510,mp-1076119
1511,mp-1077622
1512,mp-1077741
1513,mp-1077811
1514,mp-1078772
1515,mp-1078820
1516,mp-1079097
1517,mp-1079156
1518,mp-1079429
1519,mp-1079478
1520,mp-1080424
1521,mp-1080714
1522,mp-1093543
1523,mp-1093561
1524,mp-1093613
1525,mp-1093656
1526,mp-1093662
1527,mp-1093664
1528,mp-1093744
1529,mp-1093804
1530,mp-1093824
1531,mp-1093927
1532,mp-1093938
1533,mp-1093948
1534,mp-1095154
1535,mp-1095713
1536,mp-1095790
1537,mp-1095853
1538,mp-1095857
1539,mp-1095901
1540,mp-1095921
1541,mp-1095961
1542,mp-1095964
1543,mp-1095988
1544,mp-1096127
1545,mp-1096168
1546,mp-1096169
1547,mp-1096241
1548,mp-1096274
1549,mp-1096479
1550,mp-1096795
1551,mp-1096845
1552,mp-1096875
1553,mp-1096933
1554,mp-1096980
1555,mp-1097028
1556,mp-1097110
1557,mp-1097120
1558,mp-1097206
1559,mp-1097257
1560,mp-1097341
1561,mp-1097424
1562,mp-1097460
1563,mp-1097467
1564,mp-1097515
1565,mp-1097524
1566,mp-1097554
1567,mp-1099927
1568,mp-1101777
1569,mp-1102578
1570,mp-1103169
1571,mp-1104888
1572,mp-1106005
1573,mp-1106049
1574,mp-1106401
1575,mp-11215
1576,mp-11236
1577,mp-11641
1578,mp-1173025
