,ID,pf_log,var:boiling_point,var:num_p_unfilled,var:num_s_unfilled,var:num_s_valence,max:num_unfilled,min:electron_affinity,min:lattice_constant
192,mp-1009894,1.938239426,50625.0,4.0,0.0,0.0,8,0.426,3.23
193,mp-1009792,-8.718722648,214832.25,4.0,0.25,0.25,4,1.05,2.7
194,mp-1009750,6.469487971,2290076.89,2.25,0.0,0.0,9,-1.4,3.31
195,mp-1009746,5.526454935,1626900.25,2.25,0.0,0.0,9,0.188,3.31
196,mp-1009639,1.457746794,3436574.44,2.25,0.0,0.0,11,-1.4,3.67
197,mp-1009540,8.19246327,10000.0,4.0,0.0,0.0,4,1.1,2.74
198,mp-1007778,3.639306366,682771.69,1.0,0.0,0.0,5,-1.4,3.46
199,mp-1007776,1.282186322,346332.25,1.0,0.0,0.0,5,0.377,3.46
200,mp-1002124,6.69882319,34225.0,4.0,0.0,0.0,8,0.014,3.2
201,mp-998899,0.477308977,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
202,mp-938,6.49585807,846400.0,1.0,0.0,0.0,4,1.232712,4.45
203,mp-866291,4.088131907,1158959.903,0.25,0.25,0.25,1,1.302,4.09
204,mp-830,-10.15850191,1688180.49,1.0,0.0,0.0,5,-1.4,4.039
205,mp-749,-14.97737226,986644.89,2.25,0.0,0.0,8,-1.4,4.039
206,mp-708,-3.172976021,2036329.0,2.25,0.0,0.0,9,0.47,3.75
207,mp-684580,3.088094204,1027689.063,0.25,0.25,0.25,1,1.302,4.09
208,mp-632319,0.745651055,216839.2356,0.0,0.0,0.0,1,0.471626,3.75
209,mp-614603,3.739483027,61033.7025,0.25,0.25,0.25,1,0.471626,6.05
210,mp-573697,4.607923321,127092.25,0.25,0.25,0.25,1,0.471626,6.05
211,mp-571222,5.894631427,96007.0225,0.25,0.25,0.25,1,0.471626,6.05
212,mp-571102,-3.03306595,404814.0625,4.0,0.0,0.0,5,0.377,3.46
213,mp-570276,-1.598477522,3010225.0,0.0,0.0,0.0,8,0.426,2.66
214,mp-569639,-3.199158051,556068.49,4.0,0.0,0.0,5,0.377,3.46
215,mp-568560,-3.428918248,488670.9025,4.0,0.0,0.0,5,0.377,3.46
216,mp-505366,4.204907964,1888013.403,0.25,0.25,0.25,1,2.30863,4.08
217,mp-422,-2.019531537,1594128.458,1.0,0.0,0.0,2,-2.4,2.29
218,mp-343,2.501379247,3436574.44,2.25,0.0,0.0,11,-1.4,3.67
219,mp-2857,-0.572108558,2290076.89,2.25,0.0,0.0,9,-1.4,3.31
220,mp-2667,1.882370896,1132521.64,0.0,0.0,0.0,1,0.471626,4.08
221,mp-2612,7.582299134,846400.0,1.0,0.0,0.0,4,1.232712,4.45
222,mp-2599,4.374567564,2662771.24,2.25,0.0,0.0,10,-1.4,3.66
223,mp-256,1.50601826,3335371.69,2.25,0.0,0.0,9,-1.4,3.75
224,mp-2534,4.814421585,810000.0,1.0,0.0,0.0,5,0.43,4.13
225,mp-252,4.810142119,980100.0,1.0,0.0,0.0,2,-2.4,2.29
226,mp-2490,5.402772866,1126782.25,1.0,0.0,0.0,5,0.43,4.51
227,mp-24721,3.423512634,221238.5296,0.0,0.0,0.0,1,0.48592,3.75
228,mp-23703,6.518607161,301329.6342,0.0,0.0,0.0,1,0.618049,3.49
229,mp-23303,5.236307621,98941.7025,0.25,0.25,0.25,1,0.48592,5.59
230,mp-23302,5.627554746,63378.0625,0.25,0.25,0.25,1,0.48592,5.59
231,mp-23299,4.793135019,130465.44,0.25,0.25,0.25,1,0.48592,5.59
232,mp-23295,5.373771615,130465.44,0.25,0.25,0.25,1,0.48592,5.59
233,mp-23231,5.800330721,1158959.903,0.25,0.25,0.25,1,1.302,4.09
234,mp-23197,-0.897011334,404814.0625,4.0,0.0,0.0,5,0.377,3.46
235,mp-23167,-0.877532428,556068.49,4.0,0.0,0.0,5,0.377,3.46
236,mp-22925,3.097565871,1027689.063,0.25,0.25,0.25,1,1.302,4.09
237,mp-22922,5.531731954,1261578.24,0.25,0.25,0.25,1,1.302,4.09
238,mp-22906,5.790527144,96007.0225,0.25,0.25,0.25,1,0.471626,6.05
239,mp-22903,5.353507445,63378.0625,0.25,0.25,0.25,1,0.48592,5.59
240,mp-22899,5.257168564,109114.6056,0.25,0.25,0.25,1,0.618049,3.49
241,mp-22875,-0.830028223,488670.9025,4.0,0.0,0.0,5,0.377,3.46
242,mp-22867,3.991342209,98941.7025,0.25,0.25,0.25,1,0.48592,5.59
243,mp-22865,5.336755721,127092.25,0.25,0.25,0.25,1,0.471626,6.05
244,mp-2175,-1.621036871,676498.025,4.0,0.0,0.0,5,0.377,3.46
245,mp-2114,-5.227740354,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
246,mp-20411,5.125387792,1294588.84,1.0,0.0,0.0,5,-1.4,4.039
247,mp-20351,5.194035588,810000.0,1.0,0.0,0.0,5,0.3,4.59
248,mp-20305,4.407220847,545382.25,1.0,0.0,0.0,5,0.3,4.13
249,mp-18536,0.962790685,1079991.0,0.1875,0.1875,0.1875,1,1.302,4.09
250,mp-1784,3.510988232,187744.557,0.25,0.25,0.25,1,0.471626,5.631000059
251,mp-13099,0.999376099,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
252,mp-1219182,5.08902245,56406.25,0.0,0.0,0.0,4,1.232712,5.43
253,mp-1172873,5.971749101,846400.0,1.0,0.0,0.0,4,1.232712,4.45
254,mp-1156,3.615380352,147456.0,1.0,0.0,0.0,5,0.43,4.51
255,mp-1138,3.179923583,266844.5649,0.25,0.25,0.25,1,0.618049,3.49
256,mp-10759,3.545652534,1150149.003,1.0,0.0,0.0,4,1.232712,4.36
257,mp-1057286,3.332609057,216839.2356,0.0,0.0,0.0,1,0.471626,3.75
258,mp-1056920,3.062691424,61033.7025,0.25,0.25,0.25,1,0.471626,6.05
259,mp-1009894,1.033207391,50625.0,4.0,0.0,0.0,8,0.426,3.23
260,mp-1009792,-1.489118481,214832.25,4.0,0.25,0.25,4,1.05,2.7
261,mp-1009750,5.872338377,2290076.89,2.25,0.0,0.0,9,-1.4,3.31
262,mp-1009746,5.08184485,1626900.25,2.25,0.0,0.0,9,0.188,3.31
263,mp-1009639,-0.066448705,3436574.44,2.25,0.0,0.0,11,-1.4,3.67
264,mp-1009540,8.041034847,10000.0,4.0,0.0,0.0,4,1.1,2.74
265,mp-1007778,2.20702578,682771.69,1.0,0.0,0.0,5,-1.4,3.46
266,mp-1007776,0.706052606,346332.25,1.0,0.0,0.0,5,0.377,3.46
267,mp-1002124,6.718373983,34225.0,4.0,0.0,0.0,8,0.014,3.2
268,mp-998899,-2.362297395,3121582.24,2.25,0.0,0.0,9,-1.4,3.65
269,mp-938,6.01083272,846400.0,1.0,0.0,0.0,4,1.232712,4.45
270,mp-866291,3.803488252,1158959.903,0.25,0.25,0.25,1,1.302,4.09
